gene_id	gene_name	gene_biotype	PH7MLH_1_tpm	PH7MLH_1_count	PH7MLH_2_count	PH7MLH_2_count
ENSG00000008283	CYB561	protein_coding	9.849371999	9.849371999	0.527762613	0.527762613
ENSG00000008294	SPAG9	protein_coding	5.182634561	5.182634561	20.45504826	20.45504826
ENSG00000008300	CELSR3	protein_coding	0.463209008	0.463209008	1.800879632	1.800879632
ENSG00000008311	AASS	protein_coding	5.2967266	5.296726599	10.7253255	10.7253255
ENSG00000008323	PLEKHG6	protein_coding	0.158075743	0.158075743	0	0
ENSG00000008324	SS18L2	protein_coding	48.47451221	48.47451221	51.63980227	51.63980227
ENSG00000008382	MPND	protein_coding	6.567612094	6.567612094	8.420195526	8.420195527
ENSG00000008394	MGST1	protein_coding	81.12894265	81.12894265	18.78646014	18.78646014
ENSG00000008405	CRY1	protein_coding	5.727465072	5.727465074	9.901389625	9.901389625
ENSG00000008438	PGLYRP1	protein_coding	0	0	0	0
ENSG00000008441	NFIX	protein_coding	35.40721169	35.4072117	13.24998496	13.24998496
ENSG00000008513	ST3GAL1	protein_coding	2.511526168	2.511526168	2.589122101	2.589122101
ENSG00000008516	MMP25	protein_coding	0	0	0	0
ENSG00000008517	IL32	protein_coding	0.407701363	0.407701363	0.354033963	0.354033963
ENSG00000008710	PKD1	protein_coding	3.224777337	3.224777337	7.665861129	7.66586113
ENSG00000008735	MAPK8IP2	protein_coding	0.510841921	0.510841921	0.165739803	0.165739803
ENSG00000008838	MED24	protein_coding	5.811927451	5.811927451	18.61813092	18.61813092
ENSG00000008853	RHOBTB2	protein_coding	7.684547833	7.684547834	2.076240905	2.076240905
ENSG00000008869	HEATR5B	protein_coding	2.122835503	2.122835502	2.785579156	2.785579156
ENSG00000008952	SEC62	protein_coding	38.71901322	38.71901322	44.21634084	44.21634085
ENSG00000008988	RPS20	protein_coding	575.131559	575.131559	728.2957518	728.2957518
ENSG00000009307	CSDE1	protein_coding	46.64289803	46.64289804	64.36633968	64.36633968
